HotelName,Location,Price,Rating,Stars,City
Millennium Hotel Broadway Times Square,"145 West 44th Street, New York, NY 10036, United States of America ","PKR 11,613,903 ",Scored 7.3 7.3,4 star,New York
Luxury 2BdRm Apartment Midtown NYC,N/A,"PKR 2,703,456 ",N/A,4 star,New York
Murray Hill East Suites,"149 East 39th Street, Murray Hill, New York, NY 10016, United States of America ","PKR 1,761,408",Scored 8.2 8.2,3 star,New York
The St. Regis New York,N/A,"PKR 34,022,405",Scored 8.4 8.4,5 star,New York
AKA Central Park,"42 West 58th Street, New York, NY 10019, United States of America ","PKR 7,188,712",Scored 8.1 8.1,4 star,New York
The Westin New York Grand Central,N/A,"PKR 5,642,618",Scored 8.2 8.2,4 star,New York
AKA Times Square,"123 West 44th Street, New York, NY 10036, United States of America ","PKR 5,325,898",Scored 8.6 8.6,4 star,New York
"The New Yorker, A Wyndham Hotel",N/A,"PKR 9,064,698",Scored 7.7 7.7,4 star,New York
YOTEL New York Times Square,"570 10th Avenue, Hell's Kitchen, New York, NY 10036, United States of America ","PKR 8,631,734",Scored 7.4 7.4,4 star,New York
Designer Home in Diplomat District,N/A,"PKR 4,792,475",N/A,3 star,New York
