HotelName,Location,Price,Rating,Stars,City
Holiday Inn New York City - Times Square by IHG,"Hell's Kitchen, New York","PKR 41,724","Scored 7.8 7.8 Good 2,857 reviews",6 stars,New York
Solita Soho Hotel,"Little Italy, New York","PKR 25,944","Scored 7.9 7.9 Good 1,197 reviews",6 stars,New York
Riverside Tower Hotel,"Upper West Side, New York","PKR 31,923","Scored 8.5 8.5 Very good 4,732 reviews",4 stars,New York
Hilton Garden Inn New York - Times Square Central,"Manhattan, New York","PKR 36,123","Scored 7.9 7.9 Good 1,391 reviews",6 stars,New York
Hotel Hendricks,"Manhattan, New York","PKR 61,648","Scored 8.0 8.0 Very good 2,199 reviews",8 stars,New York
Margaritaville Resort Times Square,"Manhattan, New York","PKR 42,606","Scored 8.5 8.5 Very good 5,035 reviews",8 stars,New York
West Side YMCA,"Upper West Side, New York","PKR 24,950","Scored 6.7 6.7 Review score 14,573 reviews",6 stars,New York
Hotel Henri NY,"Flatiron District, New York","PKR 27,658",Scored 6.7 6.7 Review score 3 reviews,8 stars,New York
The Hotel at Fifth Avenue,"Manhattan, New York","PKR 40,752","Scored 8.0 8.0 Very good 3,952 reviews",6 stars,New York
Riu Plaza New York Times Square,"Hell's Kitchen, New York","PKR 34,320","Scored 8.6 8.6 Fabulous 7,045 reviews",8 stars,New York
