HotelName,Location,Price,Rating,Stars,City
Hotel 31 Extended Stay,N/A,0,Scored 9.1,N/A,New York
The Upper East Side Monthly Rentals Apartments,N/A,0,Scored 9.4,N/A,New York
great studio apt new york city,N/A,0,N/A,N/A,New York
Times Square Perfect Home,N/A,0,N/A,N/A,New York
HI New York City Hostel,N/A,0,Scored 8.6,N/A,New York
Murray Hill East Suites - Extended Stay,N/A,0,Scored 9,N/A,New York
Riverside Tower Hotel,N/A,0,Scored 8.5,N/A,New York
Hotel Hendricks,N/A,0,Scored 8,N/A,New York
Holiday Inn New York City - Times Square by IHG,N/A,0,Scored 7.8,N/A,New York
PREMIER HOST - HIGH luxury in Manhattan by Unique Stays - Gym & Pool,N/A,0,Scored 7.7,N/A,New York
